,,,,Term-VI Time Table (PGP 2024-26 batch) for AY 2025-26,,,,,,,,,,Single Section
,,,Slot 1,Slot 2,Slot3,Break,Slot4,Slot 5,Slot 6,Slot7,Slot 8,Slot 9,,Last Session
"Day, Date",Classroom No.,,9:00 am - 10:15 am,10:30 am - 11:45 am,12 noon - 1:15 pm,Lunch,2:30 pm - 3:45 pm,4:00 pm - 5:15 pm,5:30 pm - 6:45 pm,7:00 pm - 8:15 pm,8:45 pm - 10:00 pm,10:15 pm - 11:30 pm,,Sister section attd. Allowed
01/06/2026,F-103,,,,,,,,,,,,,
01/06/2026,SRC-201,,,,,,,,Yoga B 5,,,,,
01/06/2026,G103,,,,,,,,,,,,,
01/07/2026,F-201,,MSM 7,BF A 3,BF B 3,Quiz-ETC,IBSCG A 2,IBSCG B 2,BV 2,,MOSE 1,,,
01/07/2026,F-203,,Digital A 2,Digital A 3,,,AO A 7,AO B 7,Digital B 2,Digital B 3,,,,
01/07/2026,F-103,,,EIM A 7,EIM B 7,,PGP-I activity,,,,,,,
01/07/2026,SRC-201,,MDT 7,MDT 8,,,,,Yoga B 6,,,,,
01/07/2026,G103,,,,,,,,,,,,,
01/08/2026,F-201,,EcoP 6,EcoP 7,PBM 4,,ELDM A 7,ELDM B 7,MOSE 3,Digital B 4,Digital B 5,,,
01/08/2026,F-203,,MOSE 2,Digital A 4,Digital A 5,,ETC 8,,,,,,,
01/08/2026,F-103,,PGP-I activity,,,,,,,,,,,
01/08/2026,SRC-201,,,,,,,,Yoga B 7,,,,,
01/08/2026,G103,,,,,,,,,,,,,
01/09/2026,F-201,,BDG 6,MOSE 4,MarkA 4,,,MOSE 5,DMB2B A 1,DMB2B B 1,BV 3,,,
01/09/2026,F-203,,,,,,CLTC 2,BF A 4,BF B 4,,,,,
01/09/2026,F-103,,,,,,EIM A 8,EIM B 8,,,,,,
01/09/2026,SRC-201,,,,,,,,Yoga B 8,,,,,
01/09/2026,G103,,,,,,,,,,,,,
01/10/2026,F-201,,,WMSG A 7,WMSG A 8,,DMB2B A 2,DMB2B B 2,WMSG B 7,WMSG B 8,,,,
01/10/2026,F-203,,,,,,,MSM 8,MSM 9,,,,,
01/10/2026,F-103,,,,,,,,,,,,,
01/10/2026,SRC-201,,,,,,,,Yoga B 9,,,,,
01/10/2026,G103,,,,,,,,,,,,,
01/11/2026,F-201,,DMB2B A 3,DMB2B B 3,,Quiz-Yoga,,,WMSG B 9,WMSG B 10,,,,
01/11/2026,F-203,,,WMSG A 9,WMSG A 10,,,,,,,,,
01/11/2026,F-103,,,,,,,,,,,,,
01/11/2026,SRC-201,,,,,,,,Yoga B 10,,,,,
01/11/2026,G103,,,,,,,,,,,,,
01/12/2026,F-201,,,AAHR A 1,AAHR B 1,Quiz-AO,,,IBS A 8,IBS B 8,,,,
